row_id,attacker_model,img1,img2,dataset,attack_type,pgd_path,mi_fgsm_path,ti_fgsm_path,si_ni_fgsm_path,mi_admix_di_ti_path,att_path
0,ArcFace,/content/face_module/dataset_extractedfaces/lfw_pairs/Renee Zellweger_1.jpg,/content/face_module/dataset_extractedfaces/lfw_pairs/Catherine Deneuve_2.jpg,lfw_pairs,impersonation_attack,C:\Users\kesha\transferattacktInterns\generated_outputs\ArcFace\PGD\adv_r0_Renee_Zellweger_1_to_Catherine_Deneuve_2_impersonation_attack_6c5585b8.png,C:\Users\kesha\transferattacktInterns\generated_outputs\ArcFace\MI_FGSM\adv_r0_Renee_Zellweger_1_to_Catherine_Deneuve_2_impersonation_attack_cfc88518.png,C:\Users\kesha\transferattacktInterns\generated_outputs\ArcFace\TI_FGSM\adv_r0_Renee_Zellweger_1_to_Catherine_Deneuve_2_impersonation_attack_f1dfd1b9.png,C:\Users\kesha\transferattacktInterns\generated_outputs\ArcFace\SI_NI_FGSM\adv_r0_Renee_Zellweger_1_to_Catherine_Deneuve_2_impersonation_attack_cec3f75c.png,C:\Users\kesha\transferattacktInterns\generated_outputs\ArcFace\MI_ADMIX_DI_TI\adv_r0_Renee_Zellweger_1_to_Catherine_Deneuve_2_impersonation_attack_43986989.png,C:\Users\kesha\transferattacktInterns\generated_outputs\ArcFace\ATT\adv_r0_Renee_Zellweger_1_to_Catherine_Deneuve_2_impersonation_attack_cc919e7e.png
32,ArcFace,/content/face_module/dataset_extractedfaces/lfw_pairs/Donald Rumsfeld_105.jpg,/content/face_module/dataset_extractedfaces/lfw_pairs/Paul Burrell_11.jpg,lfw_pairs,impersonation_attack,C:\Users\kesha\transferattacktInterns\generated_outputs\ArcFace\PGD\adv_r32_Donald_Rumsfeld_105_to_Paul_Burrell_11_impersonation_attack_99e5f6ed.png,C:\Users\kesha\transferattacktInterns\generated_outputs\ArcFace\MI_FGSM\adv_r32_Donald_Rumsfeld_105_to_Paul_Burrell_11_impersonation_attack_e8618189.png,C:\Users\kesha\transferattacktInterns\generated_outputs\ArcFace\TI_FGSM\adv_r32_Donald_Rumsfeld_105_to_Paul_Burrell_11_impersonation_attack_114cc5d6.png,C:\Users\kesha\transferattacktInterns\generated_outputs\ArcFace\SI_NI_FGSM\adv_r32_Donald_Rumsfeld_105_to_Paul_Burrell_11_impersonation_attack_8db8e0da.png,C:\Users\kesha\transferattacktInterns\generated_outputs\ArcFace\MI_ADMIX_DI_TI\adv_r32_Donald_Rumsfeld_105_to_Paul_Burrell_11_impersonation_attack_ef5e6df2.png,C:\Users\kesha\transferattacktInterns\generated_outputs\ArcFace\ATT\adv_r32_Donald_Rumsfeld_105_to_Paul_Burrell_11_impersonation_attack_155f8097.png
48,ArcFace,/content/face_module/dataset_extractedfaces/lfw_pairs/Renee Zellweger_14.jpg,/content/face_module/dataset_extractedfaces/lfw_pairs/Venus Williams_9.jpg,lfw_pairs,impersonation_attack,C:\Users\kesha\transferattacktInterns\generated_outputs\ArcFace\PGD\adv_r48_Renee_Zellweger_14_to_Venus_Williams_9_impersonation_attack_3c7d3947.png,C:\Users\kesha\transferattacktInterns\generated_outputs\ArcFace\MI_FGSM\adv_r48_Renee_Zellweger_14_to_Venus_Williams_9_impersonation_attack_ad57e745.png,C:\Users\kesha\transferattacktInterns\generated_outputs\ArcFace\TI_FGSM\adv_r48_Renee_Zellweger_14_to_Venus_Williams_9_impersonation_attack_5ec7fb5a.png,C:\Users\kesha\transferattacktInterns\generated_outputs\ArcFace\SI_NI_FGSM\adv_r48_Renee_Zellweger_14_to_Venus_Williams_9_impersonation_attack_6d2c2d10.png,C:\Users\kesha\transferattacktInterns\generated_outputs\ArcFace\MI_ADMIX_DI_TI\adv_r48_Renee_Zellweger_14_to_Venus_Williams_9_impersonation_attack_720c0391.png,C:\Users\kesha\transferattacktInterns\generated_outputs\ArcFace\ATT\adv_r48_Renee_Zellweger_14_to_Venus_Williams_9_impersonation_attack_506c89c6.png
57,ArcFace,/content/face_module/dataset_extractedfaces/lfw_pairs/Mike Weir_10.jpg,/content/face_module/dataset_extractedfaces/lfw_pairs/Luis Horna_2.jpg,lfw_pairs,impersonation_attack,C:\Users\kesha\transferattacktInterns\generated_outputs\ArcFace\PGD\adv_r57_Mike_Weir_10_to_Luis_Horna_2_impersonation_attack_625a8b2b.png,C:\Users\kesha\transferattacktInterns\generated_outputs\ArcFace\MI_FGSM\adv_r57_Mike_Weir_10_to_Luis_Horna_2_impersonation_attack_4e18cbff.png,C:\Users\kesha\transferattacktInterns\generated_outputs\ArcFace\TI_FGSM\adv_r57_Mike_Weir_10_to_Luis_Horna_2_impersonation_attack_1051969c.png,C:\Users\kesha\transferattacktInterns\generated_outputs\ArcFace\SI_NI_FGSM\adv_r57_Mike_Weir_10_to_Luis_Horna_2_impersonation_attack_d94070c5.png,C:\Users\kesha\transferattacktInterns\generated_outputs\ArcFace\MI_ADMIX_DI_TI\adv_r57_Mike_Weir_10_to_Luis_Horna_2_impersonation_attack_f455cce4.png,C:\Users\kesha\transferattacktInterns\generated_outputs\ArcFace\ATT\adv_r57_Mike_Weir_10_to_Luis_Horna_2_impersonation_attack_6d9b84c3.png
60,ArcFace,/content/face_module/dataset_extractedfaces/lfw_pairs/Jason Kidd_9.jpg,/content/face_module/dataset_extractedfaces/lfw_pairs/Luiz Inacio Lula da Silva_22.jpg,lfw_pairs,impersonation_attack,C:\Users\kesha\transferattacktInterns\generated_outputs\ArcFace\PGD\adv_r60_Jason_Kidd_9_to_Luiz_Inacio_Lula_da_Silva_22_impersonation_attack_0c114301.png,C:\Users\kesha\transferattacktInterns\generated_outputs\ArcFace\MI_FGSM\adv_r60_Jason_Kidd_9_to_Luiz_Inacio_Lula_da_Silva_22_impersonation_attack_d478c549.png,C:\Users\kesha\transferattacktInterns\generated_outputs\ArcFace\TI_FGSM\adv_r60_Jason_Kidd_9_to_Luiz_Inacio_Lula_da_Silva_22_impersonation_attack_8bd9c339.png,C:\Users\kesha\transferattacktInterns\generated_outputs\ArcFace\SI_NI_FGSM\adv_r60_Jason_Kidd_9_to_Luiz_Inacio_Lula_da_Silva_22_impersonation_attack_b8d8876f.png,C:\Users\kesha\transferattacktInterns\generated_outputs\ArcFace\MI_ADMIX_DI_TI\adv_r60_Jason_Kidd_9_to_Luiz_Inacio_Lula_da_Silva_22_impersonation_attack_92cca707.png,C:\Users\kesha\transferattacktInterns\generated_outputs\ArcFace\ATT\adv_r60_Jason_Kidd_9_to_Luiz_Inacio_Lula_da_Silva_22_impersonation_attack_0e363aa9.png
2,ArcFace,/content/face_module/dataset_extractedfaces/celeba_pairs/107859.jpg,/content/face_module/dataset_extractedfaces/celeba_pairs/031892.jpg,celeba_pairs,impersonation_attack,C:\Users\kesha\transferattacktInterns\generated_outputs\ArcFace\PGD\adv_r2_107859_to_031892_impersonation_attack_62d15d6e.png,C:\Users\kesha\transferattacktInterns\generated_outputs\ArcFace\MI_FGSM\adv_r2_107859_to_031892_impersonation_attack_e5d6f2b8.png,C:\Users\kesha\transferattacktInterns\generated_outputs\ArcFace\TI_FGSM\adv_r2_107859_to_031892_impersonation_attack_9108b924.png,C:\Users\kesha\transferattacktInterns\generated_outputs\ArcFace\SI_NI_FGSM\adv_r2_107859_to_031892_impersonation_attack_0f40ec7a.png,C:\Users\kesha\transferattacktInterns\generated_outputs\ArcFace\MI_ADMIX_DI_TI\adv_r2_107859_to_031892_impersonation_attack_9c24ad7f.png,C:\Users\kesha\transferattacktInterns\generated_outputs\ArcFace\ATT\adv_r2_107859_to_031892_impersonation_attack_32245b39.png
8,ArcFace,/content/face_module/dataset_extractedfaces/celeba_pairs/023666.jpg,/content/face_module/dataset_extractedfaces/celeba_pairs/010959.jpg,celeba_pairs,impersonation_attack,C:\Users\kesha\transferattacktInterns\generated_outputs\ArcFace\PGD\adv_r8_023666_to_010959_impersonation_attack_49f0615c.png,C:\Users\kesha\transferattacktInterns\generated_outputs\ArcFace\MI_FGSM\adv_r8_023666_to_010959_impersonation_attack_cfb94a07.png,C:\Users\kesha\transferattacktInterns\generated_outputs\ArcFace\TI_FGSM\adv_r8_023666_to_010959_impersonation_attack_364c4b22.png,C:\Users\kesha\transferattacktInterns\generated_outputs\ArcFace\SI_NI_FGSM\adv_r8_023666_to_010959_impersonation_attack_38952709.png,C:\Users\kesha\transferattacktInterns\generated_outputs\ArcFace\MI_ADMIX_DI_TI\adv_r8_023666_to_010959_impersonation_attack_8c96d4a9.png,C:\Users\kesha\transferattacktInterns\generated_outputs\ArcFace\ATT\adv_r8_023666_to_010959_impersonation_attack_360a4383.png
12,ArcFace,/content/face_module/dataset_extractedfaces/celeba_pairs/003089.jpg,/content/face_module/dataset_extractedfaces/celeba_pairs/016966.jpg,celeba_pairs,impersonation_attack,C:\Users\kesha\transferattacktInterns\generated_outputs\ArcFace\PGD\adv_r12_003089_to_016966_impersonation_attack_23bdd795.png,C:\Users\kesha\transferattacktInterns\generated_outputs\ArcFace\MI_FGSM\adv_r12_003089_to_016966_impersonation_attack_168912a7.png,C:\Users\kesha\transferattacktInterns\generated_outputs\ArcFace\TI_FGSM\adv_r12_003089_to_016966_impersonation_attack_a389fca1.png,C:\Users\kesha\transferattacktInterns\generated_outputs\ArcFace\SI_NI_FGSM\adv_r12_003089_to_016966_impersonation_attack_897377e8.png,C:\Users\kesha\transferattacktInterns\generated_outputs\ArcFace\MI_ADMIX_DI_TI\adv_r12_003089_to_016966_impersonation_attack_bc154912.png,C:\Users\kesha\transferattacktInterns\generated_outputs\ArcFace\ATT\adv_r12_003089_to_016966_impersonation_attack_f658df5a.png
26,ArcFace,/content/face_module/dataset_extractedfaces/celeba_pairs/113117.jpg,/content/face_module/dataset_extractedfaces/celeba_pairs/129449.jpg,celeba_pairs,impersonation_attack,C:\Users\kesha\transferattacktInterns\generated_outputs\ArcFace\PGD\adv_r26_113117_to_129449_impersonation_attack_f241df4b.png,C:\Users\kesha\transferattacktInterns\generated_outputs\ArcFace\MI_FGSM\adv_r26_113117_to_129449_impersonation_attack_d81be3a9.png,C:\Users\kesha\transferattacktInterns\generated_outputs\ArcFace\TI_FGSM\adv_r26_113117_to_129449_impersonation_attack_86cd71af.png,C:\Users\kesha\transferattacktInterns\generated_outputs\ArcFace\SI_NI_FGSM\adv_r26_113117_to_129449_impersonation_attack_a5408531.png,C:\Users\kesha\transferattacktInterns\generated_outputs\ArcFace\MI_ADMIX_DI_TI\adv_r26_113117_to_129449_impersonation_attack_e44a4fdb.png,C:\Users\kesha\transferattacktInterns\generated_outputs\ArcFace\ATT\adv_r26_113117_to_129449_impersonation_attack_cb799846.png
34,ArcFace,/content/face_module/dataset_extractedfaces/celeba_pairs/001430.jpg,/content/face_module/dataset_extractedfaces/celeba_pairs/046649.jpg,celeba_pairs,impersonation_attack,C:\Users\kesha\transferattacktInterns\generated_outputs\ArcFace\PGD\adv_r34_001430_to_046649_impersonation_attack_72634044.png,C:\Users\kesha\transferattacktInterns\generated_outputs\ArcFace\MI_FGSM\adv_r34_001430_to_046649_impersonation_attack_2f3eb02a.png,C:\Users\kesha\transferattacktInterns\generated_outputs\ArcFace\TI_FGSM\adv_r34_001430_to_046649_impersonation_attack_d51e3adf.png,C:\Users\kesha\transferattacktInterns\generated_outputs\ArcFace\SI_NI_FGSM\adv_r34_001430_to_046649_impersonation_attack_93ee0123.png,C:\Users\kesha\transferattacktInterns\generated_outputs\ArcFace\MI_ADMIX_DI_TI\adv_r34_001430_to_046649_impersonation_attack_00855d12.png,C:\Users\kesha\transferattacktInterns\generated_outputs\ArcFace\ATT\adv_r34_001430_to_046649_impersonation_attack_3ca620c8.png
