row_id,dataset,attack_type,victim_model,similarity,clean_similarity,threshold,breach,impact
0,lfw_pairs,impersonation_attack,ArcFace,0.5405241879539863,0.2113871872425079,0.380176,1,0.32913700071147833
32,lfw_pairs,impersonation_attack,ArcFace,0.4259664812816977,0.0229567140340805,0.380176,1,0.40300976724761717
48,lfw_pairs,impersonation_attack,ArcFace,0.4613496864352543,0.1083588227629661,0.380176,1,0.3529908636722882
57,lfw_pairs,impersonation_attack,ArcFace,0.4367210710230421,0.2939320802688598,0.380176,1,0.14278899075418228
60,lfw_pairs,impersonation_attack,ArcFace,0.6478608753234427,0.0810950919985771,0.380176,1,0.5667657833248656
2,celeba_pairs,impersonation_attack,ArcFace,0.716022169751484,0.2291036397218704,0.389981,1,0.4869185300296136
8,celeba_pairs,impersonation_attack,ArcFace,0.6689629480837211,0.1708459556102752,0.389981,1,0.49811699247344593
12,celeba_pairs,impersonation_attack,ArcFace,0.5902378742074837,0.2072169482707977,0.389981,1,0.383020925936686
26,celeba_pairs,impersonation_attack,ArcFace,0.38586426398725,0.0089564956724643,0.389981,0,0.3769077683147857
34,celeba_pairs,impersonation_attack,ArcFace,0.6524257863592892,0.1476320326328277,0.389981,1,0.5047937537264615
3,vggface2_pairs,impersonation_attack,ArcFace,0.7532853985878138,0.0339482352137565,0.423448,1,0.7193371633740574
5,vggface2_pairs,impersonation_attack,ArcFace,0.5056539826883909,0.0034883907064795,0.423448,1,0.5021655919819114
17,vggface2_pairs,impersonation_attack,ArcFace,0.756601047451727,0.3356752395629883,0.423448,1,0.4209258078887387
19,vggface2_pairs,impersonation_attack,ArcFace,0.5746120457475563,0.1917921304702758,0.423448,1,0.38281991527728054
21,vggface2_pairs,impersonation_attack,ArcFace,0.5431074558605196,0.1859162747859954,0.423448,1,0.3571911810745242
6,lfw_pairs,dodging_attack,ArcFace,0.0605639196021848,0.7488540410995483,0.380176,1,0.6882901214973636
9,lfw_pairs,dodging_attack,ArcFace,0.2263961406657305,0.2683088183403015,0.380176,1,0.04191267767457102
15,lfw_pairs,dodging_attack,ArcFace,-0.0185490237129455,0.6775953769683838,0.380176,1,0.6961444006813293
16,lfw_pairs,dodging_attack,ArcFace,0.0455831407475488,0.6158847212791443,0.380176,1,0.5703015805315955
23,lfw_pairs,dodging_attack,ArcFace,0.1206209501408003,0.6419427394866943,0.380176,1,0.521321789345894
18,celeba_pairs,dodging_attack,ArcFace,0.08075705502057,0.7534175515174866,0.389981,1,0.6726604964969166
27,celeba_pairs,dodging_attack,ArcFace,0.2128482777776607,0.7247549891471863,0.389981,1,0.5119067113695256
28,celeba_pairs,dodging_attack,ArcFace,0.0887855315440963,0.3586554825305938,0.389981,1,0.2698699509864975
30,celeba_pairs,dodging_attack,ArcFace,-0.1156149431792817,0.5551614761352539,0.389981,1,0.6707764193145356
33,celeba_pairs,dodging_attack,ArcFace,0.2158562847930202,0.8753218650817871,0.389981,1,0.6594655802887669
