row_id,dataset,attack_type,victim_model,similarity
0,lfw_pairs,impersonation_attack,ArcFace,0.5405241961379335
32,lfw_pairs,impersonation_attack,ArcFace,0.4259664792476791
48,lfw_pairs,impersonation_attack,ArcFace,0.46134970279291143
57,lfw_pairs,impersonation_attack,ArcFace,0.4367210122796984
60,lfw_pairs,impersonation_attack,ArcFace,0.6478608794070649
2,celeba_pairs,impersonation_attack,ArcFace,0.7160221075654439
8,celeba_pairs,impersonation_attack,ArcFace,0.6689629297926878
12,celeba_pairs,impersonation_attack,ArcFace,0.5902378826107038
26,celeba_pairs,impersonation_attack,ArcFace,0.38586420837209834
34,celeba_pairs,impersonation_attack,ArcFace,0.652425751725349
3,vggface2_pairs,impersonation_attack,ArcFace,0.7532853554379074
5,vggface2_pairs,impersonation_attack,ArcFace,0.5056539723540374
17,vggface2_pairs,impersonation_attack,ArcFace,0.7566011096658395
19,vggface2_pairs,impersonation_attack,ArcFace,0.574612078800217
21,vggface2_pairs,impersonation_attack,ArcFace,0.5431074529960882
6,lfw_pairs,dodging_attack,ArcFace,0.06056384249390655
9,lfw_pairs,dodging_attack,ArcFace,0.2263962123539684
15,lfw_pairs,dodging_attack,ArcFace,-0.018549004842569387
16,lfw_pairs,dodging_attack,ArcFace,0.04558313308893796
23,lfw_pairs,dodging_attack,ArcFace,0.12062092608169764
18,celeba_pairs,dodging_attack,ArcFace,0.0807570953006406
27,celeba_pairs,dodging_attack,ArcFace,0.21284823924718244
28,celeba_pairs,dodging_attack,ArcFace,0.08878555588236978
30,celeba_pairs,dodging_attack,ArcFace,-0.11561496014562361
33,celeba_pairs,dodging_attack,ArcFace,0.21585624482423088
1,vggface2_pairs,dodging_attack,ArcFace,-0.12117433372322436
4,vggface2_pairs,dodging_attack,ArcFace,-0.2238444116887981
7,vggface2_pairs,dodging_attack,ArcFace,0.020091942639858414
10,vggface2_pairs,dodging_attack,ArcFace,0.32959984154639665
11,vggface2_pairs,dodging_attack,ArcFace,-0.008700112602318805
