row_id,attacker_model,dataset,attack_type,victim_model,attack_method,similarity
0,ArcFace,lfw_pairs,impersonation_attack,ArcFace,ATT,0.5405241961379335
32,ArcFace,lfw_pairs,impersonation_attack,ArcFace,ATT,0.4259664792476791
48,ArcFace,lfw_pairs,impersonation_attack,ArcFace,ATT,0.46134970279291143
57,ArcFace,lfw_pairs,impersonation_attack,ArcFace,ATT,0.4367210122796984
60,ArcFace,lfw_pairs,impersonation_attack,ArcFace,ATT,0.6478608794070649
2,ArcFace,celeba_pairs,impersonation_attack,ArcFace,ATT,0.7160221075654439
8,ArcFace,celeba_pairs,impersonation_attack,ArcFace,ATT,0.6689629297926878
12,ArcFace,celeba_pairs,impersonation_attack,ArcFace,ATT,0.5902378826107038
26,ArcFace,celeba_pairs,impersonation_attack,ArcFace,ATT,0.38586420837209834
34,ArcFace,celeba_pairs,impersonation_attack,ArcFace,ATT,0.652425751725349
3,ArcFace,vggface2_pairs,impersonation_attack,ArcFace,ATT,0.7532853554379074
5,ArcFace,vggface2_pairs,impersonation_attack,ArcFace,ATT,0.5056539723540374
17,ArcFace,vggface2_pairs,impersonation_attack,ArcFace,ATT,0.7566011096658395
19,ArcFace,vggface2_pairs,impersonation_attack,ArcFace,ATT,0.574612078800217
21,ArcFace,vggface2_pairs,impersonation_attack,ArcFace,ATT,0.5431074529960882
6,ArcFace,lfw_pairs,dodging_attack,ArcFace,ATT,0.06056384249390655
9,ArcFace,lfw_pairs,dodging_attack,ArcFace,ATT,0.2263962123539684
15,ArcFace,lfw_pairs,dodging_attack,ArcFace,ATT,-0.018549004842569387
16,ArcFace,lfw_pairs,dodging_attack,ArcFace,ATT,0.04558313308893796
23,ArcFace,lfw_pairs,dodging_attack,ArcFace,ATT,0.12062092608169764
18,ArcFace,celeba_pairs,dodging_attack,ArcFace,ATT,0.0807570953006406
27,ArcFace,celeba_pairs,dodging_attack,ArcFace,ATT,0.21284823924718244
28,ArcFace,celeba_pairs,dodging_attack,ArcFace,ATT,0.08878555588236978
30,ArcFace,celeba_pairs,dodging_attack,ArcFace,ATT,-0.11561496014562361
33,ArcFace,celeba_pairs,dodging_attack,ArcFace,ATT,0.21585624482423088
1,ArcFace,vggface2_pairs,dodging_attack,ArcFace,ATT,-0.12117433372322436
4,ArcFace,vggface2_pairs,dodging_attack,ArcFace,ATT,-0.2238444116887981
7,ArcFace,vggface2_pairs,dodging_attack,ArcFace,ATT,0.020091942639858414
10,ArcFace,vggface2_pairs,dodging_attack,ArcFace,ATT,0.32959984154639665
11,ArcFace,vggface2_pairs,dodging_attack,ArcFace,ATT,-0.008700112602318805
0,Facenet512,lfw_pairs,impersonation_attack,ArcFace,ATT,0.2926272768391841
32,Facenet512,lfw_pairs,impersonation_attack,ArcFace,ATT,0.13795304566434888
48,Facenet512,lfw_pairs,impersonation_attack,ArcFace,ATT,0.15002382295181393
57,Facenet512,lfw_pairs,impersonation_attack,ArcFace,ATT,0.2784533083075033
60,Facenet512,lfw_pairs,impersonation_attack,ArcFace,ATT,0.1566835999131303
2,Facenet512,celeba_pairs,impersonation_attack,ArcFace,ATT,0.39203635610652554
8,Facenet512,celeba_pairs,impersonation_attack,ArcFace,ATT,0.31097432962286486
12,Facenet512,celeba_pairs,impersonation_attack,ArcFace,ATT,0.3834602350761482
26,Facenet512,celeba_pairs,impersonation_attack,ArcFace,ATT,0.09759016980606416
34,Facenet512,celeba_pairs,impersonation_attack,ArcFace,ATT,0.399779107202192
3,Facenet512,vggface2_pairs,impersonation_attack,ArcFace,ATT,0.25855774815898463
5,Facenet512,vggface2_pairs,impersonation_attack,ArcFace,ATT,0.12315863583829592
17,Facenet512,vggface2_pairs,impersonation_attack,ArcFace,ATT,0.5646550569571274
19,Facenet512,vggface2_pairs,impersonation_attack,ArcFace,ATT,0.4591743371205404
21,Facenet512,vggface2_pairs,impersonation_attack,ArcFace,ATT,0.34178166109286184
6,Facenet512,lfw_pairs,dodging_attack,ArcFace,ATT,0.33987041274760726
9,Facenet512,lfw_pairs,dodging_attack,ArcFace,ATT,0.394584493416662
15,Facenet512,lfw_pairs,dodging_attack,ArcFace,ATT,0.3014993997825119
16,Facenet512,lfw_pairs,dodging_attack,ArcFace,ATT,0.3495499070803948
23,Facenet512,lfw_pairs,dodging_attack,ArcFace,ATT,0.23282505109787915
18,Facenet512,celeba_pairs,dodging_attack,ArcFace,ATT,0.4572444808441748
27,Facenet512,celeba_pairs,dodging_attack,ArcFace,ATT,0.5048224487295525
28,Facenet512,celeba_pairs,dodging_attack,ArcFace,ATT,0.39637841655047784
30,Facenet512,celeba_pairs,dodging_attack,ArcFace,ATT,0.3903170412063147
33,Facenet512,celeba_pairs,dodging_attack,ArcFace,ATT,0.5392020154539037
1,Facenet512,vggface2_pairs,dodging_attack,ArcFace,ATT,0.0996877561840327
4,Facenet512,vggface2_pairs,dodging_attack,ArcFace,ATT,0.07703081016395368
7,Facenet512,vggface2_pairs,dodging_attack,ArcFace,ATT,0.37380019859245267
10,Facenet512,vggface2_pairs,dodging_attack,ArcFace,ATT,0.6619768497595856
11,Facenet512,vggface2_pairs,dodging_attack,ArcFace,ATT,0.3892345687811258
0,GhostFaceNet,lfw_pairs,impersonation_attack,ArcFace,ATT,0.11178359275158081
32,GhostFaceNet,lfw_pairs,impersonation_attack,ArcFace,ATT,-0.07329947591749172
48,GhostFaceNet,lfw_pairs,impersonation_attack,ArcFace,ATT,0.10196802800877357
57,GhostFaceNet,lfw_pairs,impersonation_attack,ArcFace,ATT,0.24995363849564795
60,GhostFaceNet,lfw_pairs,impersonation_attack,ArcFace,ATT,-0.03712713526431134
2,GhostFaceNet,celeba_pairs,impersonation_attack,ArcFace,ATT,0.3460552251037047
