row_id,attacker_model,img1,img2,dataset,attack_type,att_path
0,Facenet512,/content/face_module/dataset_extractedfaces/lfw_pairs/Renee Zellweger_1.jpg,/content/face_module/dataset_extractedfaces/lfw_pairs/Catherine Deneuve_2.jpg,lfw_pairs,impersonation_attack,C:\Users\kesha\transferattacktInterns\generated_outputs\Facenet512\ATT\adv_r0_Renee_Zellweger_1_to_Catherine_Deneuve_2_impersonation_attack_3fafd23b.png
32,Facenet512,/content/face_module/dataset_extractedfaces/lfw_pairs/Donald Rumsfeld_105.jpg,/content/face_module/dataset_extractedfaces/lfw_pairs/Paul Burrell_11.jpg,lfw_pairs,impersonation_attack,C:\Users\kesha\transferattacktInterns\generated_outputs\Facenet512\ATT\adv_r32_Donald_Rumsfeld_105_to_Paul_Burrell_11_impersonation_attack_34930cb4.png
48,Facenet512,/content/face_module/dataset_extractedfaces/lfw_pairs/Renee Zellweger_14.jpg,/content/face_module/dataset_extractedfaces/lfw_pairs/Venus Williams_9.jpg,lfw_pairs,impersonation_attack,C:\Users\kesha\transferattacktInterns\generated_outputs\Facenet512\ATT\adv_r48_Renee_Zellweger_14_to_Venus_Williams_9_impersonation_attack_6ee183b8.png
57,Facenet512,/content/face_module/dataset_extractedfaces/lfw_pairs/Mike Weir_10.jpg,/content/face_module/dataset_extractedfaces/lfw_pairs/Luis Horna_2.jpg,lfw_pairs,impersonation_attack,C:\Users\kesha\transferattacktInterns\generated_outputs\Facenet512\ATT\adv_r57_Mike_Weir_10_to_Luis_Horna_2_impersonation_attack_ffab7adb.png
60,Facenet512,/content/face_module/dataset_extractedfaces/lfw_pairs/Jason Kidd_9.jpg,/content/face_module/dataset_extractedfaces/lfw_pairs/Luiz Inacio Lula da Silva_22.jpg,lfw_pairs,impersonation_attack,C:\Users\kesha\transferattacktInterns\generated_outputs\Facenet512\ATT\adv_r60_Jason_Kidd_9_to_Luiz_Inacio_Lula_da_Silva_22_impersonation_attack_89ee4a29.png
2,Facenet512,/content/face_module/dataset_extractedfaces/celeba_pairs/107859.jpg,/content/face_module/dataset_extractedfaces/celeba_pairs/031892.jpg,celeba_pairs,impersonation_attack,C:\Users\kesha\transferattacktInterns\generated_outputs\Facenet512\ATT\adv_r2_107859_to_031892_impersonation_attack_452b158c.png
8,Facenet512,/content/face_module/dataset_extractedfaces/celeba_pairs/023666.jpg,/content/face_module/dataset_extractedfaces/celeba_pairs/010959.jpg,celeba_pairs,impersonation_attack,C:\Users\kesha\transferattacktInterns\generated_outputs\Facenet512\ATT\adv_r8_023666_to_010959_impersonation_attack_3da496d0.png
12,Facenet512,/content/face_module/dataset_extractedfaces/celeba_pairs/003089.jpg,/content/face_module/dataset_extractedfaces/celeba_pairs/016966.jpg,celeba_pairs,impersonation_attack,C:\Users\kesha\transferattacktInterns\generated_outputs\Facenet512\ATT\adv_r12_003089_to_016966_impersonation_attack_49e143aa.png
26,Facenet512,/content/face_module/dataset_extractedfaces/celeba_pairs/113117.jpg,/content/face_module/dataset_extractedfaces/celeba_pairs/129449.jpg,celeba_pairs,impersonation_attack,C:\Users\kesha\transferattacktInterns\generated_outputs\Facenet512\ATT\adv_r26_113117_to_129449_impersonation_attack_9e13a447.png
34,Facenet512,/content/face_module/dataset_extractedfaces/celeba_pairs/001430.jpg,/content/face_module/dataset_extractedfaces/celeba_pairs/046649.jpg,celeba_pairs,impersonation_attack,C:\Users\kesha\transferattacktInterns\generated_outputs\Facenet512\ATT\adv_r34_001430_to_046649_impersonation_attack_70bdcacc.png
3,Facenet512,/content/face_module/dataset_extractedfaces/vggface2_pairs/n000007_0076_01.jpg,/content/face_module/dataset_extractedfaces/vggface2_pairs/n000005_0080_01.jpg,vggface2_pairs,impersonation_attack,C:\Users\kesha\transferattacktInterns\generated_outputs\Facenet512\ATT\adv_r3_n000007_0076_01_to_n000005_0080_01_impersonation_attack_28606189.png
5,Facenet512,/content/face_module/dataset_extractedfaces/vggface2_pairs/n000004_0204_01.jpg,/content/face_module/dataset_extractedfaces/vggface2_pairs/n000002_0070_01.jpg,vggface2_pairs,impersonation_attack,C:\Users\kesha\transferattacktInterns\generated_outputs\Facenet512\ATT\adv_r5_n000004_0204_01_to_n000002_0070_01_impersonation_attack_2245ee51.png
17,Facenet512,/content/face_module/dataset_extractedfaces/vggface2_pairs/n000016_0036_01.jpg,/content/face_module/dataset_extractedfaces/vggface2_pairs/n000012_0087_01.jpg,vggface2_pairs,impersonation_attack,C:\Users\kesha\transferattacktInterns\generated_outputs\Facenet512\ATT\adv_r17_n000016_0036_01_to_n000012_0087_01_impersonation_attack_62cf3b2c.png
19,Facenet512,/content/face_module/dataset_extractedfaces/vggface2_pairs/n000007_0012_01.jpg,/content/face_module/dataset_extractedfaces/vggface2_pairs/n000008_0101_01.jpg,vggface2_pairs,impersonation_attack,C:\Users\kesha\transferattacktInterns\generated_outputs\Facenet512\ATT\adv_r19_n000007_0012_01_to_n000008_0101_01_impersonation_attack_94118e31.png
