row_id,attacker_model,img1,img2,dataset,attack_type,att_path
0,GhostFaceNet,/content/face_module/dataset_extractedfaces/lfw_pairs/Renee Zellweger_1.jpg,/content/face_module/dataset_extractedfaces/lfw_pairs/Catherine Deneuve_2.jpg,lfw_pairs,impersonation_attack,C:\Users\kesha\transferattacktInterns\generated_outputs\GhostFaceNet\ATT\adv_r0_Renee_Zellweger_1_to_Catherine_Deneuve_2_impersonation_attack_91843eb8.png
32,GhostFaceNet,/content/face_module/dataset_extractedfaces/lfw_pairs/Donald Rumsfeld_105.jpg,/content/face_module/dataset_extractedfaces/lfw_pairs/Paul Burrell_11.jpg,lfw_pairs,impersonation_attack,C:\Users\kesha\transferattacktInterns\generated_outputs\GhostFaceNet\ATT\adv_r32_Donald_Rumsfeld_105_to_Paul_Burrell_11_impersonation_attack_cc248322.png
48,GhostFaceNet,/content/face_module/dataset_extractedfaces/lfw_pairs/Renee Zellweger_14.jpg,/content/face_module/dataset_extractedfaces/lfw_pairs/Venus Williams_9.jpg,lfw_pairs,impersonation_attack,C:\Users\kesha\transferattacktInterns\generated_outputs\GhostFaceNet\ATT\adv_r48_Renee_Zellweger_14_to_Venus_Williams_9_impersonation_attack_dd70bd1f.png
57,GhostFaceNet,/content/face_module/dataset_extractedfaces/lfw_pairs/Mike Weir_10.jpg,/content/face_module/dataset_extractedfaces/lfw_pairs/Luis Horna_2.jpg,lfw_pairs,impersonation_attack,C:\Users\kesha\transferattacktInterns\generated_outputs\GhostFaceNet\ATT\adv_r57_Mike_Weir_10_to_Luis_Horna_2_impersonation_attack_1ae37936.png
60,GhostFaceNet,/content/face_module/dataset_extractedfaces/lfw_pairs/Jason Kidd_9.jpg,/content/face_module/dataset_extractedfaces/lfw_pairs/Luiz Inacio Lula da Silva_22.jpg,lfw_pairs,impersonation_attack,C:\Users\kesha\transferattacktInterns\generated_outputs\GhostFaceNet\ATT\adv_r60_Jason_Kidd_9_to_Luiz_Inacio_Lula_da_Silva_22_impersonation_attack_5405045d.png
2,GhostFaceNet,/content/face_module/dataset_extractedfaces/celeba_pairs/107859.jpg,/content/face_module/dataset_extractedfaces/celeba_pairs/031892.jpg,celeba_pairs,impersonation_attack,C:\Users\kesha\transferattacktInterns\generated_outputs\GhostFaceNet\ATT\adv_r2_107859_to_031892_impersonation_attack_55355e84.png
8,GhostFaceNet,/content/face_module/dataset_extractedfaces/celeba_pairs/023666.jpg,/content/face_module/dataset_extractedfaces/celeba_pairs/010959.jpg,celeba_pairs,impersonation_attack,C:\Users\kesha\transferattacktInterns\generated_outputs\GhostFaceNet\ATT\adv_r8_023666_to_010959_impersonation_attack_4d04c616.png
12,GhostFaceNet,/content/face_module/dataset_extractedfaces/celeba_pairs/003089.jpg,/content/face_module/dataset_extractedfaces/celeba_pairs/016966.jpg,celeba_pairs,impersonation_attack,C:\Users\kesha\transferattacktInterns\generated_outputs\GhostFaceNet\ATT\adv_r12_003089_to_016966_impersonation_attack_3d27c11e.png
26,GhostFaceNet,/content/face_module/dataset_extractedfaces/celeba_pairs/113117.jpg,/content/face_module/dataset_extractedfaces/celeba_pairs/129449.jpg,celeba_pairs,impersonation_attack,C:\Users\kesha\transferattacktInterns\generated_outputs\GhostFaceNet\ATT\adv_r26_113117_to_129449_impersonation_attack_cd45f030.png
34,GhostFaceNet,/content/face_module/dataset_extractedfaces/celeba_pairs/001430.jpg,/content/face_module/dataset_extractedfaces/celeba_pairs/046649.jpg,celeba_pairs,impersonation_attack,C:\Users\kesha\transferattacktInterns\generated_outputs\GhostFaceNet\ATT\adv_r34_001430_to_046649_impersonation_attack_dd1604bb.png
