row_id,attacker_model,img1,img2,dataset,attack_type,att_path
0,VGG-Face,/content/face_module/dataset_extractedfaces/lfw_pairs/Renee Zellweger_1.jpg,/content/face_module/dataset_extractedfaces/lfw_pairs/Catherine Deneuve_2.jpg,lfw_pairs,impersonation_attack,C:\Users\kesha\transferattacktInterns\generated_outputs\VGG-Face\ATT\adv_r0_Renee_Zellweger_1_to_Catherine_Deneuve_2_impersonation_attack_fda1af53.png
32,VGG-Face,/content/face_module/dataset_extractedfaces/lfw_pairs/Donald Rumsfeld_105.jpg,/content/face_module/dataset_extractedfaces/lfw_pairs/Paul Burrell_11.jpg,lfw_pairs,impersonation_attack,C:\Users\kesha\transferattacktInterns\generated_outputs\VGG-Face\ATT\adv_r32_Donald_Rumsfeld_105_to_Paul_Burrell_11_impersonation_attack_083cf35d.png
48,VGG-Face,/content/face_module/dataset_extractedfaces/lfw_pairs/Renee Zellweger_14.jpg,/content/face_module/dataset_extractedfaces/lfw_pairs/Venus Williams_9.jpg,lfw_pairs,impersonation_attack,C:\Users\kesha\transferattacktInterns\generated_outputs\VGG-Face\ATT\adv_r48_Renee_Zellweger_14_to_Venus_Williams_9_impersonation_attack_cf993c3a.png
57,VGG-Face,/content/face_module/dataset_extractedfaces/lfw_pairs/Mike Weir_10.jpg,/content/face_module/dataset_extractedfaces/lfw_pairs/Luis Horna_2.jpg,lfw_pairs,impersonation_attack,C:\Users\kesha\transferattacktInterns\generated_outputs\VGG-Face\ATT\adv_r57_Mike_Weir_10_to_Luis_Horna_2_impersonation_attack_18530d9e.png
60,VGG-Face,/content/face_module/dataset_extractedfaces/lfw_pairs/Jason Kidd_9.jpg,/content/face_module/dataset_extractedfaces/lfw_pairs/Luiz Inacio Lula da Silva_22.jpg,lfw_pairs,impersonation_attack,C:\Users\kesha\transferattacktInterns\generated_outputs\VGG-Face\ATT\adv_r60_Jason_Kidd_9_to_Luiz_Inacio_Lula_da_Silva_22_impersonation_attack_ab25126f.png
2,VGG-Face,/content/face_module/dataset_extractedfaces/celeba_pairs/107859.jpg,/content/face_module/dataset_extractedfaces/celeba_pairs/031892.jpg,celeba_pairs,impersonation_attack,C:\Users\kesha\transferattacktInterns\generated_outputs\VGG-Face\ATT\adv_r2_107859_to_031892_impersonation_attack_f9417576.png
8,VGG-Face,/content/face_module/dataset_extractedfaces/celeba_pairs/023666.jpg,/content/face_module/dataset_extractedfaces/celeba_pairs/010959.jpg,celeba_pairs,impersonation_attack,C:\Users\kesha\transferattacktInterns\generated_outputs\VGG-Face\ATT\adv_r8_023666_to_010959_impersonation_attack_a28d359f.png
12,VGG-Face,/content/face_module/dataset_extractedfaces/celeba_pairs/003089.jpg,/content/face_module/dataset_extractedfaces/celeba_pairs/016966.jpg,celeba_pairs,impersonation_attack,C:\Users\kesha\transferattacktInterns\generated_outputs\VGG-Face\ATT\adv_r12_003089_to_016966_impersonation_attack_56c21ce0.png
26,VGG-Face,/content/face_module/dataset_extractedfaces/celeba_pairs/113117.jpg,/content/face_module/dataset_extractedfaces/celeba_pairs/129449.jpg,celeba_pairs,impersonation_attack,C:\Users\kesha\transferattacktInterns\generated_outputs\VGG-Face\ATT\adv_r26_113117_to_129449_impersonation_attack_ef7b1f5c.png
34,VGG-Face,/content/face_module/dataset_extractedfaces/celeba_pairs/001430.jpg,/content/face_module/dataset_extractedfaces/celeba_pairs/046649.jpg,celeba_pairs,impersonation_attack,C:\Users\kesha\transferattacktInterns\generated_outputs\VGG-Face\ATT\adv_r34_001430_to_046649_impersonation_attack_2697ed5e.png
3,VGG-Face,/content/face_module/dataset_extractedfaces/vggface2_pairs/n000007_0076_01.jpg,/content/face_module/dataset_extractedfaces/vggface2_pairs/n000005_0080_01.jpg,vggface2_pairs,impersonation_attack,C:\Users\kesha\transferattacktInterns\generated_outputs\VGG-Face\ATT\adv_r3_n000007_0076_01_to_n000005_0080_01_impersonation_attack_c28bb2bb.png
5,VGG-Face,/content/face_module/dataset_extractedfaces/vggface2_pairs/n000004_0204_01.jpg,/content/face_module/dataset_extractedfaces/vggface2_pairs/n000002_0070_01.jpg,vggface2_pairs,impersonation_attack,C:\Users\kesha\transferattacktInterns\generated_outputs\VGG-Face\ATT\adv_r5_n000004_0204_01_to_n000002_0070_01_impersonation_attack_974002a1.png
17,VGG-Face,/content/face_module/dataset_extractedfaces/vggface2_pairs/n000016_0036_01.jpg,/content/face_module/dataset_extractedfaces/vggface2_pairs/n000012_0087_01.jpg,vggface2_pairs,impersonation_attack,C:\Users\kesha\transferattacktInterns\generated_outputs\VGG-Face\ATT\adv_r17_n000016_0036_01_to_n000012_0087_01_impersonation_attack_51cb75d3.png
19,VGG-Face,/content/face_module/dataset_extractedfaces/vggface2_pairs/n000007_0012_01.jpg,/content/face_module/dataset_extractedfaces/vggface2_pairs/n000008_0101_01.jpg,vggface2_pairs,impersonation_attack,C:\Users\kesha\transferattacktInterns\generated_outputs\VGG-Face\ATT\adv_r19_n000007_0012_01_to_n000008_0101_01_impersonation_attack_b300bc81.png
21,VGG-Face,/content/face_module/dataset_extractedfaces/vggface2_pairs/n000012_0183_01.jpg,/content/face_module/dataset_extractedfaces/vggface2_pairs/n000014_0113_01.jpg,vggface2_pairs,impersonation_attack,C:\Users\kesha\transferattacktInterns\generated_outputs\VGG-Face\ATT\adv_r21_n000012_0183_01_to_n000014_0113_01_impersonation_attack_6b65d758.png
6,VGG-Face,/content/face_module/dataset_extractedfaces/lfw_pairs/Luiz Inacio Lula da Silva_7.jpg,/content/face_module/dataset_extractedfaces/lfw_pairs/Luiz Inacio Lula da Silva_8.jpg,lfw_pairs,dodging_attack,C:\Users\kesha\transferattacktInterns\generated_outputs\VGG-Face\ATT\adv_r6_Luiz_Inacio_Lula_da_Silva_7_to_Luiz_Inacio_Lula_da_Silva_8_dodging_attack_f8a08aa6.png
9,VGG-Face,/content/face_module/dataset_extractedfaces/lfw_pairs/Colin Powell_75.jpg,/content/face_module/dataset_extractedfaces/lfw_pairs/Colin Powell_76.jpg,lfw_pairs,dodging_attack,C:\Users\kesha\transferattacktInterns\generated_outputs\VGG-Face\ATT\adv_r9_Colin_Powell_75_to_Colin_Powell_76_dodging_attack_7f02d424.png
15,VGG-Face,/content/face_module/dataset_extractedfaces/lfw_pairs/George W Bush_518.jpg,/content/face_module/dataset_extractedfaces/lfw_pairs/George W Bush_519.jpg,lfw_pairs,dodging_attack,C:\Users\kesha\transferattacktInterns\generated_outputs\VGG-Face\ATT\adv_r15_George_W_Bush_518_to_George_W_Bush_519_dodging_attack_57c37ad4.png
16,VGG-Face,/content/face_module/dataset_extractedfaces/lfw_pairs/Colin Powell_24.jpg,/content/face_module/dataset_extractedfaces/lfw_pairs/Colin Powell_25.jpg,lfw_pairs,dodging_attack,C:\Users\kesha\transferattacktInterns\generated_outputs\VGG-Face\ATT\adv_r16_Colin_Powell_24_to_Colin_Powell_25_dodging_attack_6f2b1864.png
23,VGG-Face,/content/face_module/dataset_extractedfaces/lfw_pairs/Tom Daschle_5.jpg,/content/face_module/dataset_extractedfaces/lfw_pairs/Tom Daschle_6.jpg,lfw_pairs,dodging_attack,C:\Users\kesha\transferattacktInterns\generated_outputs\VGG-Face\ATT\adv_r23_Tom_Daschle_5_to_Tom_Daschle_6_dodging_attack_ba7663a2.png
18,VGG-Face,/content/face_module/dataset_extractedfaces/celeba_pairs/092809.jpg,/content/face_module/dataset_extractedfaces/celeba_pairs/108708.jpg,celeba_pairs,dodging_attack,C:\Users\kesha\transferattacktInterns\generated_outputs\VGG-Face\ATT\adv_r18_092809_to_108708_dodging_attack_ad8a765e.png
27,VGG-Face,/content/face_module/dataset_extractedfaces/celeba_pairs/023869.jpg,/content/face_module/dataset_extractedfaces/celeba_pairs/024923.jpg,celeba_pairs,dodging_attack,C:\Users\kesha\transferattacktInterns\generated_outputs\VGG-Face\ATT\adv_r27_023869_to_024923_dodging_attack_e4f43352.png
28,VGG-Face,/content/face_module/dataset_extractedfaces/celeba_pairs/130980.jpg,/content/face_module/dataset_extractedfaces/celeba_pairs/147767.jpg,celeba_pairs,dodging_attack,C:\Users\kesha\transferattacktInterns\generated_outputs\VGG-Face\ATT\adv_r28_130980_to_147767_dodging_attack_f435314b.png
30,VGG-Face,/content/face_module/dataset_extractedfaces/celeba_pairs/042909.jpg,/content/face_module/dataset_extractedfaces/celeba_pairs/048579.jpg,celeba_pairs,dodging_attack,C:\Users\kesha\transferattacktInterns\generated_outputs\VGG-Face\ATT\adv_r30_042909_to_048579_dodging_attack_1c5b2d23.png
33,VGG-Face,/content/face_module/dataset_extractedfaces/celeba_pairs/169016.jpg,/content/face_module/dataset_extractedfaces/celeba_pairs/171037.jpg,celeba_pairs,dodging_attack,C:\Users\kesha\transferattacktInterns\generated_outputs\VGG-Face\ATT\adv_r33_169016_to_171037_dodging_attack_469f237d.png
1,VGG-Face,/content/face_module/dataset_extractedfaces/vggface2_pairs/n000007_0113_01.jpg,/content/face_module/dataset_extractedfaces/vggface2_pairs/n000007_0122_01.jpg,vggface2_pairs,dodging_attack,C:\Users\kesha\transferattacktInterns\generated_outputs\VGG-Face\ATT\adv_r1_n000007_0113_01_to_n000007_0122_01_dodging_attack_c74d111c.png
4,VGG-Face,/content/face_module/dataset_extractedfaces/vggface2_pairs/n000008_0256_01.jpg,/content/face_module/dataset_extractedfaces/vggface2_pairs/n000008_0348_01.jpg,vggface2_pairs,dodging_attack,C:\Users\kesha\transferattacktInterns\generated_outputs\VGG-Face\ATT\adv_r4_n000008_0256_01_to_n000008_0348_01_dodging_attack_3f3fcf1c.png
7,VGG-Face,/content/face_module/dataset_extractedfaces/vggface2_pairs/n000010_0058_01.jpg,/content/face_module/dataset_extractedfaces/vggface2_pairs/n000010_0081_01.jpg,vggface2_pairs,dodging_attack,C:\Users\kesha\transferattacktInterns\generated_outputs\VGG-Face\ATT\adv_r7_n000010_0058_01_to_n000010_0081_01_dodging_attack_42cccfc9.png
10,VGG-Face,/content/face_module/dataset_extractedfaces/vggface2_pairs/n000005_0022_01.jpg,/content/face_module/dataset_extractedfaces/vggface2_pairs/n000005_0076_01.jpg,vggface2_pairs,dodging_attack,C:\Users\kesha\transferattacktInterns\generated_outputs\VGG-Face\ATT\adv_r10_n000005_0022_01_to_n000005_0076_01_dodging_attack_1fc3cb2e.png
11,VGG-Face,/content/face_module/dataset_extractedfaces/vggface2_pairs/n000007_0176_01.jpg,/content/face_module/dataset_extractedfaces/vggface2_pairs/n000007_0335_03.jpg,vggface2_pairs,dodging_attack,C:\Users\kesha\transferattacktInterns\generated_outputs\VGG-Face\ATT\adv_r11_n000007_0176_01_to_n000007_0335_03_dodging_attack_73cc89e8.png
