attacker_model,victim_model,attack_method,num_rows,breach_rate_pct,impact_mean
ArcFace,Facenet512,ATT,30,23.333333333333332,0.20874340158576768
ArcFace,GhostFaceNet,ATT,30,30.0,0.09765478450184067
ArcFace,IR152,ATT,30,6.666666666666667,0.1383301637756328
ArcFace,VGG-Face,ATT,30,23.333333333333332,0.1024610626200835
Facenet512,ArcFace,ATT,30,33.33333333333333,0.17222152144337693
Facenet512,GhostFaceNet,ATT,30,26.666666666666668,0.10195705477769176
Facenet512,IR152,ATT,30,13.333333333333334,0.1862580655142665
Facenet512,VGG-Face,ATT,30,43.333333333333336,0.16868056853612265
GhostFaceNet,ArcFace,ATT,30,23.333333333333332,0.09049258666733902
GhostFaceNet,Facenet512,ATT,30,6.666666666666667,0.11086943559348583
GhostFaceNet,IR152,ATT,30,0.0,0.10751231961573164
GhostFaceNet,VGG-Face,ATT,30,10.0,0.05415610671043398
VGG-Face,ArcFace,ATT,30,40.0,0.1959143176985284
VGG-Face,Facenet512,ATT,30,46.666666666666664,0.3659424237906933
VGG-Face,GhostFaceNet,ATT,30,40.0,0.10726572986071309
VGG-Face,IR152,ATT,30,10.0,0.152926602276663
