row_id,attacker_model,victim_model,dataset,attack_type,attack_method,variant,similarity
0,Facenet512,ArcFace,lfw_pairs,impersonation_attack,ATT,vanilla,0.5067933797836304
0,Facenet512,GhostFaceNet,lfw_pairs,impersonation_attack,ATT,vanilla,0.0981161892414093
0,Facenet512,VGG-Face,lfw_pairs,impersonation_attack,ATT,vanilla,0.38038522005081177
0,Facenet512,IR152,lfw_pairs,impersonation_attack,ATT,vanilla,0.397067129611969
32,Facenet512,ArcFace,lfw_pairs,impersonation_attack,ATT,vanilla,0.230067640542984
32,Facenet512,GhostFaceNet,lfw_pairs,impersonation_attack,ATT,vanilla,0.1489923745393753
32,Facenet512,VGG-Face,lfw_pairs,impersonation_attack,ATT,vanilla,0.2690380811691284
32,Facenet512,IR152,lfw_pairs,impersonation_attack,ATT,vanilla,0.06069733947515488
48,Facenet512,ArcFace,lfw_pairs,impersonation_attack,ATT,vanilla,0.24920231103897095
48,Facenet512,GhostFaceNet,lfw_pairs,impersonation_attack,ATT,vanilla,0.2914004921913147
48,Facenet512,VGG-Face,lfw_pairs,impersonation_attack,ATT,vanilla,0.12274730205535889
48,Facenet512,IR152,lfw_pairs,impersonation_attack,ATT,vanilla,0.15458539128303528
57,Facenet512,ArcFace,lfw_pairs,impersonation_attack,ATT,vanilla,0.32542741298675537
57,Facenet512,GhostFaceNet,lfw_pairs,impersonation_attack,ATT,vanilla,0.10912372916936874
57,Facenet512,VGG-Face,lfw_pairs,impersonation_attack,ATT,vanilla,0.32767078280448914
57,Facenet512,IR152,lfw_pairs,impersonation_attack,ATT,vanilla,0.22727063298225403
60,Facenet512,ArcFace,lfw_pairs,impersonation_attack,ATT,vanilla,0.33117595314979553
60,Facenet512,GhostFaceNet,lfw_pairs,impersonation_attack,ATT,vanilla,-0.007182285189628601
60,Facenet512,VGG-Face,lfw_pairs,impersonation_attack,ATT,vanilla,0.27063244581222534
60,Facenet512,IR152,lfw_pairs,impersonation_attack,ATT,vanilla,0.0857192650437355
2,Facenet512,ArcFace,celeba_pairs,impersonation_attack,ATT,vanilla,0.3467963933944702
2,Facenet512,GhostFaceNet,celeba_pairs,impersonation_attack,ATT,vanilla,0.0807315930724144
2,Facenet512,VGG-Face,celeba_pairs,impersonation_attack,ATT,vanilla,0.17577794194221497
2,Facenet512,IR152,celeba_pairs,impersonation_attack,ATT,vanilla,0.19817718863487244
8,Facenet512,ArcFace,celeba_pairs,impersonation_attack,ATT,vanilla,0.3251696527004242
